"OrderID","ProductID","CategoryID","SupplierID","SupplierName","ContactName","Address","City","PostalCode","Country","Phone","ProductName","Unit","Price","CategoryName","Description","OrderDetailID","Quantity","orderdate"
"10251","65","2","2","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans","70117","USA","(100) 555-4822","Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles","21.05","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","11","20","1996-07-08"
"10252","20","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Sir Rodney's Marmalade","30 gift boxes","81","Confections","Desserts, candies, and sweet breads","12","40","1996-07-09"
"10252","33","4","15","Norske Meierier","Beate Vileid","Hatlevegen 5","Sandvika","1320","Norway","(0)2-953010","Geitost","500 g","2.5","Dairy Products","Cheeses","13","25","1996-07-09"
"10252","60","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Camembert Pierrot","15 - 300 g rounds","34","Dairy Products","Cheeses","14","40","1996-07-09"
"10253","31","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Gorgonzola Telino","12 - 100 g pkgs","12.5","Dairy Products","Cheeses","15","20","1996-07-10"
"10253","39","1","18","Aux joyeux ecclésiastiques","Guylène Nodier","203, Rue des Francs-Bourgeois","Paris","75004","France","(1) 03.83.00.68","Chartreuse verte","750 cc per bottle","18","Beverages","Soft drinks, coffees, teas, beers, and ales","16","42","1996-07-10"
"10253","49","3","23","Karkki Oy","Anne Heikkonen","Valtakatu 12","Lappeenranta","53120","Finland","(953) 10956","Maxilaku","24 - 50 g pkgs.","20","Confections","Desserts, candies, and sweet breads","17","40","1996-07-10"
"10254","24","1","10","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","São Paulo","5442","Brazil","(11) 555 4640","Guaraná Fantástica","12 - 355 ml cans","4.5","Beverages","Soft drinks, coffees, teas, beers, and ales","18","15","1996-07-11"
"10254","55","6","25","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent","Montréal","H1J 1C3","Canada","(514) 555-9022","Pâté chinois","24 boxes x 2 pies","24","Meat/Poultry","Prepared meats","19","21","1996-07-11"
"10254","74","7","4","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi","Tokyo","100","Japan","(03) 3555-5011","Longlife Tofu","5 kg pkg.","10","Produce","Dried fruit and bean curd","20","21","1996-07-11"
"10255","2","1","1","Exotic Liquid","Charlotte Cooper","49 Gilbert St.","Londona","EC1 4SD","UK","(171) 555-2222","Chang","24 - 12 oz bottles","19","Beverages","Soft drinks, coffees, teas, beers, and ales","21","20","1996-07-12"
"10255","16","3","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Pavlova","32 - 500 g boxes","17.45","Confections","Desserts, candies, and sweet breads","22","35","1996-07-12"
"10255","36","8","17","Svensk Sjöföda AB","Michael Björn","Brovallavägen 231","Stockholm","S-123 45","Sweden","08-123 45 67","Inlagd Sill","24 - 250 g jars","19","Seafood","Seaweed and fish","23","25","1996-07-12"
"10255","59","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Raclette Courdavault","5 kg pkg.","55","Dairy Products","Cheeses","24","30","1996-07-12"
"10256","53","6","24","G'day, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunter's Hill","Sydney","2042","Australia","(02) 555-5914","Perth Pasties","48 pieces","32.8","Meat/Poultry","Prepared meats","25","15","1996-07-15"
"10256","77","2","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Original Frankfurter grüne Soße","12 boxes","13","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","26","12","1996-07-15"
"10257","27","3","11","Heli Süßwaren GmbH & Co. KG","Petra Winkler","Tiergartenstraße 5","Berlin","10785","Germany","(010) 9984510","Schoggi Schokolade","100 - 100 g pieces","43.9","Confections","Desserts, candies, and sweet breads","27","25","1996-07-16"
"10257","39","1","18","Aux joyeux ecclésiastiques","Guylène Nodier","203, Rue des Francs-Bourgeois","Paris","75004","France","(1) 03.83.00.68","Chartreuse verte","750 cc per bottle","18","Beverages","Soft drinks, coffees, teas, beers, and ales","28","6","1996-07-16"
"10257","77","2","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Original Frankfurter grüne Soße","12 boxes","13","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","29","15","1996-07-16"
"10258","2","1","1","Exotic Liquid","Charlotte Cooper","49 Gilbert St.","Londona","EC1 4SD","UK","(171) 555-2222","Chang","24 - 12 oz bottles","19","Beverages","Soft drinks, coffees, teas, beers, and ales","30","50","1996-07-17"
"10258","5","2","2","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans","70117","USA","(100) 555-4822","Chef Anton's Gumbo Mix","36 boxes","21.35","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","31","65","1996-07-17"
"10258","32","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mascarpone Fabioli","24 - 200 g pkgs.","32","Dairy Products","Cheeses","32","6","1996-07-17"
"10259","21","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Sir Rodney's Scones","24 pkgs. x 4 pieces","10","Confections","Desserts, candies, and sweet breads","33","10","1996-07-18"
"10259","37","8","17","Svensk Sjöföda AB","Michael Björn","Brovallavägen 231","Stockholm","S-123 45","Sweden","08-123 45 67","Gravad lax","12 - 500 g pkgs.","26","Seafood","Seaweed and fish","34","1","1996-07-18"
"10260","41","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Jack's New England Clam Chowder","12 - 12 oz cans","9.65","Seafood","Seaweed and fish","35","16","1996-07-19"
"10260","57","5","26","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153","Salerno","84100","Italy","(089) 6547665","Ravioli Angelo","24 - 250 g pkgs.","19.5","Grains/Cereals","Breads, crackers, pasta, and cereal","36","50","1996-07-19"
"10260","62","3","29","Forêts d'érables","Chantal Goulet","148 rue Chasseur","Ste-Hyacinthe","J2S 7S8","Canada","(514) 555-2955","Tarte au sucre","48 pies","49.3","Confections","Desserts, candies, and sweet breads","37","15","1996-07-19"
"10260","70","1","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Outback Lager","24 - 355 ml bottles","15","Beverages","Soft drinks, coffees, teas, beers, and ales","38","21","1996-07-19"
"10261","21","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Sir Rodney's Scones","24 pkgs. x 4 pieces","10","Confections","Desserts, candies, and sweet breads","39","20","1996-07-19"
"10261","35","1","16","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210","Bend","97101","USA","(503) 555-9931","Steeleye Stout","24 - 12 oz bottles","18","Beverages","Soft drinks, coffees, teas, beers, and ales","40","20","1996-07-19"
"10262","5","2","2","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans","70117","USA","(100) 555-4822","Chef Anton's Gumbo Mix","36 boxes","21.35","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","41","12","1996-07-22"
"10262","7","7","3","Grandma Kelly's Homestead","Regina Murphy","707 Oxford Rd.","Ann Arbor","48104","USA","(313) 555-5735","Uncle Bob's Organic Dried Pears","12 - 1 lb pkgs.","30","Produce","Dried fruit and bean curd","42","15","1996-07-22"
"10262","56","5","26","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153","Salerno","84100","Italy","(089) 6547665","Gnocchi di nonna Alice","24 - 250 g pkgs.","38","Grains/Cereals","Breads, crackers, pasta, and cereal","43","2","1996-07-22"
"10263","16","3","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Pavlova","32 - 500 g boxes","17.45","Confections","Desserts, candies, and sweet breads","44","60","1996-07-23"
"10263","24","1","10","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","São Paulo","5442","Brazil","(11) 555 4640","Guaraná Fantástica","12 - 355 ml cans","4.5","Beverages","Soft drinks, coffees, teas, beers, and ales","45","28","1996-07-23"
"10263","30","8","13","Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a","Cuxhaven","27478","Germany","(04721) 8713","Nord-Ost Matjeshering","10 - 200 g glasses","25.89","Seafood","Seaweed and fish","46","60","1996-07-23"
"10263","74","7","4","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi","Tokyo","100","Japan","(03) 3555-5011","Longlife Tofu","5 kg pkg.","10","Produce","Dried fruit and bean curd","47","36","1996-07-23"
"10264","2","1","1","Exotic Liquid","Charlotte Cooper","49 Gilbert St.","Londona","EC1 4SD","UK","(171) 555-2222","Chang","24 - 12 oz bottles","19","Beverages","Soft drinks, coffees, teas, beers, and ales","48","35","1996-07-24"
"10264","41","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Jack's New England Clam Chowder","12 - 12 oz cans","9.65","Seafood","Seaweed and fish","49","25","1996-07-24"
"10265","17","6","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Alice Mutton","20 - 1 kg tins","39","Meat/Poultry","Prepared meats","50","30","1996-07-25"
"10265","70","1","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Outback Lager","24 - 355 ml bottles","15","Beverages","Soft drinks, coffees, teas, beers, and ales","51","20","1996-07-25"
"10266","12","4","5","Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Calle del Rosal 4","Oviedo","33007","Spain","(98) 598 76 54","Queso Manchego La Pastora","10 - 500 g pkgs.","38","Dairy Products","Cheeses","52","12","1996-07-26"
"10267","40","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Boston Crab Meat","24 - 4 oz tins","18.4","Seafood","Seaweed and fish","53","50","1996-07-29"
"10267","59","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Raclette Courdavault","5 kg pkg.","55","Dairy Products","Cheeses","54","70","1996-07-29"
"10267","76","1","23","Karkki Oy","Anne Heikkonen","Valtakatu 12","Lappeenranta","53120","Finland","(953) 10956","Lakkalikööri","500 ml","18","Beverages","Soft drinks, coffees, teas, beers, and ales","55","15","1996-07-29"
"10268","29","6","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Thüringer Rostbratwurst","50 bags x 30 sausgs.","123.79","Meat/Poultry","Prepared meats","56","10","1996-07-30"
"10268","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","57","4","1996-07-30"
"10269","33","4","15","Norske Meierier","Beate Vileid","Hatlevegen 5","Sandvika","1320","Norway","(0)2-953010","Geitost","500 g","2.5","Dairy Products","Cheeses","58","60","1996-07-31"
"10269","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","59","20","1996-07-31"
"10270","36","8","17","Svensk Sjöföda AB","Michael Björn","Brovallavägen 231","Stockholm","S-123 45","Sweden","08-123 45 67","Inlagd Sill","24 - 250 g jars","19","Seafood","Seaweed and fish","60","30","1996-08-01"
"10270","43","1","20","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402","Singapore","512","Singapore","555-8787","Ipoh Coffee","16 - 500 g tins","46","Beverages","Soft drinks, coffees, teas, beers, and ales","61","25","1996-08-01"
"10271","33","4","15","Norske Meierier","Beate Vileid","Hatlevegen 5","Sandvika","1320","Norway","(0)2-953010","Geitost","500 g","2.5","Dairy Products","Cheeses","62","24","1996-08-01"
"10272","20","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Sir Rodney's Marmalade","30 gift boxes","81","Confections","Desserts, candies, and sweet breads","63","6","1996-08-02"
"10272","31","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Gorgonzola Telino","12 - 100 g pkgs","12.5","Dairy Products","Cheeses","64","40","1996-08-02"
"10272","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","65","24","1996-08-02"
"10273","10","8","4","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi","Tokyo","100","Japan","(03) 3555-5011","Ikura","12 - 200 ml jars","31","Seafood","Seaweed and fish","66","24","1996-08-05"
"10273","31","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Gorgonzola Telino","12 - 100 g pkgs","12.5","Dairy Products","Cheeses","67","15","1996-08-05"
"10273","33","4","15","Norske Meierier","Beate Vileid","Hatlevegen 5","Sandvika","1320","Norway","(0)2-953010","Geitost","500 g","2.5","Dairy Products","Cheeses","68","20","1996-08-05"
"10273","40","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Boston Crab Meat","24 - 4 oz tins","18.4","Seafood","Seaweed and fish","69","60","1996-08-05"
"10273","76","1","23","Karkki Oy","Anne Heikkonen","Valtakatu 12","Lappeenranta","53120","Finland","(953) 10956","Lakkalikööri","500 ml","18","Beverages","Soft drinks, coffees, teas, beers, and ales","70","33","1996-08-05"
"10274","71","4","15","Norske Meierier","Beate Vileid","Hatlevegen 5","Sandvika","1320","Norway","(0)2-953010","Fløtemysost","10 - 500 g pkgs.","21.5","Dairy Products","Cheeses","71","20","1996-08-06"
"10274","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","72","7","1996-08-06"
"10275","24","1","10","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","São Paulo","5442","Brazil","(11) 555 4640","Guaraná Fantástica","12 - 355 ml cans","4.5","Beverages","Soft drinks, coffees, teas, beers, and ales","73","12","1996-08-07"
"10275","59","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Raclette Courdavault","5 kg pkg.","55","Dairy Products","Cheeses","74","6","1996-08-07"
"10276","10","8","4","Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi","Tokyo","100","Japan","(03) 3555-5011","Ikura","12 - 200 ml jars","31","Seafood","Seaweed and fish","75","15","1996-08-08"
"10276","13","8","6","Mayumi's","Mayumi Ohno","92 Setsuko Chuo-ku","Osaka","545","Japan","(06) 431-7877","Konbu","2 kg box","6","Seafood","Seaweed and fish","76","10","1996-08-08"
"10277","28","7","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Rössle Sauerkraut","25 - 825 g cans","45.6","Produce","Dried fruit and bean curd","77","20","1996-08-09"
"10277","62","3","29","Forêts d'érables","Chantal Goulet","148 rue Chasseur","Ste-Hyacinthe","J2S 7S8","Canada","(514) 555-2955","Tarte au sucre","48 pies","49.3","Confections","Desserts, candies, and sweet breads","78","12","1996-08-09"
"10278","44","2","20","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402","Singapore","512","Singapore","555-8787","Gula Malacca","20 - 2 kg bags","19.45","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","79","16","1996-08-12"
"10278","59","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Raclette Courdavault","5 kg pkg.","55","Dairy Products","Cheeses","80","15","1996-08-12"
"10278","63","2","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Vegie-spread","15 - 625 g jars","43.9","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","81","8","1996-08-12"
"10278","73","8","17","Svensk Sjöföda AB","Michael Björn","Brovallavägen 231","Stockholm","S-123 45","Sweden","08-123 45 67","Röd Kaviar","24 - 150 g jars","15","Seafood","Seaweed and fish","82","25","1996-08-12"
"10279","17","6","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Alice Mutton","20 - 1 kg tins","39","Meat/Poultry","Prepared meats","83","15","1996-08-13"
"10280","24","1","10","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","São Paulo","5442","Brazil","(11) 555 4640","Guaraná Fantástica","12 - 355 ml cans","4.5","Beverages","Soft drinks, coffees, teas, beers, and ales","84","12","1996-08-14"
"10280","55","6","25","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent","Montréal","H1J 1C3","Canada","(514) 555-9022","Pâté chinois","24 boxes x 2 pies","24","Meat/Poultry","Prepared meats","85","20","1996-08-14"
"10280","75","1","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Rhönbräu Klosterbier","24 - 0.5 l bottles","7.75","Beverages","Soft drinks, coffees, teas, beers, and ales","86","30","1996-08-14"
"10281","19","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Teatime Chocolate Biscuits","10 boxes x 12 pieces","9.2","Confections","Desserts, candies, and sweet breads","87","1","1996-08-14"
"10281","24","1","10","Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","São Paulo","5442","Brazil","(11) 555 4640","Guaraná Fantástica","12 - 355 ml cans","4.5","Beverages","Soft drinks, coffees, teas, beers, and ales","88","6","1996-08-14"
"10281","35","1","16","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210","Bend","97101","USA","(503) 555-9931","Steeleye Stout","24 - 12 oz bottles","18","Beverages","Soft drinks, coffees, teas, beers, and ales","89","4","1996-08-14"
"10282","30","8","13","Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a","Cuxhaven","27478","Germany","(04721) 8713","Nord-Ost Matjeshering","10 - 200 g glasses","25.89","Seafood","Seaweed and fish","90","6","1996-08-15"
"10282","57","5","26","Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153","Salerno","84100","Italy","(089) 6547665","Ravioli Angelo","24 - 250 g pkgs.","19.5","Grains/Cereals","Breads, crackers, pasta, and cereal","91","2","1996-08-15"
"10283","15","2","6","Mayumi's","Mayumi Ohno","92 Setsuko Chuo-ku","Osaka","545","Japan","(06) 431-7877","Genen Shouyu","24 - 250 ml bottles","15.5","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","92","20","1996-08-16"
"10283","19","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Teatime Chocolate Biscuits","10 boxes x 12 pieces","9.2","Confections","Desserts, candies, and sweet breads","93","18","1996-08-16"
"10283","60","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Camembert Pierrot","15 - 300 g rounds","34","Dairy Products","Cheeses","94","35","1996-08-16"
"10283","72","4","14","Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75","Ravenna","48100","Italy","(0544) 60323","Mozzarella di Giovanni","24 - 200 g pkgs.","34.8","Dairy Products","Cheeses","95","3","1996-08-16"
"10284","27","3","11","Heli Süßwaren GmbH & Co. KG","Petra Winkler","Tiergartenstraße 5","Berlin","10785","Germany","(010) 9984510","Schoggi Schokolade","100 - 100 g pieces","43.9","Confections","Desserts, candies, and sweet breads","96","15","1996-08-19"
"10284","44","2","20","Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402","Singapore","512","Singapore","555-8787","Gula Malacca","20 - 2 kg bags","19.45","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","97","21","1996-08-19"
"10284","60","4","28","Gai pâturage","Eliane Noz","Bat. B 3, rue des Alpes","Annecy","74000","France","38.76.98.06","Camembert Pierrot","15 - 300 g rounds","34","Dairy Products","Cheeses","98","20","1996-08-19"
"10284","67","1","16","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210","Bend","97101","USA","(503) 555-9931","Laughing Lumberjack Lager","24 - 12 oz bottles","14","Beverages","Soft drinks, coffees, teas, beers, and ales","99","5","1996-08-19"
"10285","1","1","1","Exotic Liquid","Charlotte Cooper","49 Gilbert St.","Londona","EC1 4SD","UK","(171) 555-2222","Chais","10 boxes x 20 bags","18","Beverages","Soft drinks, coffees, teas, beers, and ales","100","45","1996-08-20"
"10285","40","8","19","New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.","Boston","2134","USA","(617) 555-3267","Boston Crab Meat","24 - 4 oz tins","18.4","Seafood","Seaweed and fish","101","40","1996-08-20"
"10285","53","6","24","G'day, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunter's Hill","Sydney","2042","Australia","(02) 555-5914","Perth Pasties","48 pieces","32.8","Meat/Poultry","Prepared meats","102","36","1996-08-20"
"10286","35","1","16","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210","Bend","97101","USA","(503) 555-9931","Steeleye Stout","24 - 12 oz bottles","18","Beverages","Soft drinks, coffees, teas, beers, and ales","103","100","1996-08-21"
"10286","62","3","29","Forêts d'érables","Chantal Goulet","148 rue Chasseur","Ste-Hyacinthe","J2S 7S8","Canada","(514) 555-2955","Tarte au sucre","48 pies","49.3","Confections","Desserts, candies, and sweet breads","104","40","1996-08-21"
"10287","16","3","7","Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds","Melbourne","3058","Australia","(03) 444-2343","Pavlova","32 - 500 g boxes","17.45","Confections","Desserts, candies, and sweet breads","105","40","1996-08-22"
"10287","34","1","16","Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210","Bend","97101","USA","(503) 555-9931","Sasquatch Ale","24 - 12 oz bottles","14","Beverages","Soft drinks, coffees, teas, beers, and ales","106","20","1996-08-22"
"10287","46","8","21","Lyngbysild","Niels Petersen","Lyngbysild Fiskebakken 10","Lyngby","2800","Denmark","43844108","Spegesild","4 - 450 g glasses","12","Seafood","Seaweed and fish","107","15","1996-08-22"
"10288","54","6","25","Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent","Montréal","H1J 1C3","Canada","(514) 555-9022","Tourtière","16 pies","7.45","Meat/Poultry","Prepared meats","108","10","1996-08-23"
"10288","68","3","8","Specialty Biscuits, Ltd.","Peter Wilson","29 King's Way","Manchester","M14 GSD","UK","(161) 555-4448","Scottish Longbreads","10 boxes x 8 pieces","12.5","Confections","Desserts, candies, and sweet breads","109","3","1996-08-23"
"10289","3","2","1","Exotic Liquid","Charlotte Cooper","49 Gilbert St.","Londona","EC1 4SD","UK","(171) 555-2222","Aniseed Syrup","12 - 550 ml bottles","10","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","110","30","1996-08-26"
"10289","64","5","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Wimmers gute Semmelknödel","20 bags x 4 pieces","33.25","Grains/Cereals","Breads, crackers, pasta, and cereal","111","9","1996-08-26"
"10290","5","2","2","New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans","70117","USA","(100) 555-4822","Chef Anton's Gumbo Mix","36 boxes","21.35","Condiments","Sweet and savory sauces, relishes, spreads, and seasonings","112","20","1996-08-27"
"10290","29","6","12","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Bogenallee 51","Frankfurt","60439","Germany","(069) 992755","Thüringer Rostbratwurst","50 bags x 30 sausgs.","123.79","Meat/Poultry","Prepared meats","113","15","1996-08-27"
